cid,BND_1,BND_2,BND_3,BND_4,BND_5,BND_6,BND_7,BND_8,BND_9,BND_10,BND_11,BND_12
"1","168","330","1172","420","1846","4069","4563","4632","4826","4582","1919","766"
"1","208","303","1104","417","1764","4128","4629","4528","4840","4628","2183","975"
"1","186","267","909","382","1375","3357","3811","4000","4042","3929","2036","926"
"2","236","291","568","866","1243","2215","2527","1904","2528","3245","1879","1128"
"2","201","240","477","708","1011","1646","1758","1494","1928","2878","1816","1007"
"2","231","304","526","896","1132","1420","1823","1454","1957","2435","2099","1344"
"3","125","129","365","190","690","2057","2473","2662","2708","2757","1269","564"
"3","100","114","312","165","667","2034","2495","2576","2695","2384","1107","471"
"3","114","144","292","232","556","1284","1526","1530","1696","1717","985","525"
"3","113","135","276","226","542","1318","1568","1556","1700","1700","987","526"
"2","289","288","484","744","1017","1290","1379","1266","1467","1488","2121","1348"
"4","334","772","1040","1094","1287","2223","2449","2020","2799","3764","2081","1224"
"4","383","741","1110","1100","1275","2067","2305","2592","2329","2519","1688","1016"
"4","373","778","1082","1236","1472","2490","2778","2642","2926","3132","2215","1347"
"5","263","298","396","165","119","57","73","43","78","44","68","57"
"5","190","178","198","82","94","85","84","69","70","34","36","38"
"5","171","176","156","74","73","74","72","55","56","43","25","16"
"5","305","408","734","432","305","84","94","58","48","9","40","27"
"2","274","318","565","1016","1292","1552","1676","1584","1712","1660","1885","1372"
"1","234","362","888","367","1371","3843","4260","4708","4347","3900","1839","838"
"1","253","360","909","490","1225","2872","3166","3640","3247","2976","1870","970"
"1","206","288","698","465","1045","2403","2609","3044","2824","2655","1577","853"
"3","175","301","444","527","751","1385","1590","1676","1831","1812","1697","1070"
"3","172","180","329","330","655","1339","1571","1606","1780","1798","1391","779"
"3","161","184","341","325","655","1515","1772","1772","2010","1996","1328","712"
"4","375","835","1120","1172","1408","1977","2126","2178","2319","3029","1908","1180"
"4","354","1088","1842","2068","1785","2900","3110","3432","3171","3362","2475","1632"
"4","292","777","1182","1182","1328","2711","3067","3234","3261","3264","2225","1322"
"2","223","269","487","745","991","1269","1428","1368","1450","1877","1793","1157"
"2","214","276","479","659","996","1487","1711","1762","2091","2250","2597","1661"
"2","226","226","364","593","861","1086","1289","1494","1699","1788","2392","1559"
"3","102","109","276","211","536","1368","1596","1620","1738","1714","892","457"
"3","145","135","274","171","569","2263","2847","2942","2991","2986","1219","492"
